text,telicity,punctual/duritive,
A white dog leaps up to grab a pink Frisbee.,telic,punctual ,
A Zoo handler engages in an activity with a white tiger.,atelic,punctual,
A woman in pink and green garb is joined by others in the streets.,stative,,
A quarterback is about to throw a pass from the end zone in a football game.,stative,,
A girl in a ballet fairy costume is touched by a wand.,telic,punctual,
A soccer player in white is about to strike the ball in front of a large crowd as an opponent in red tries to make a play on him.,stative,,
A boy leaps over a man in a lake.,telic,punctual,
A rugby player kicks a ball across the field while other players watch.,telic,punctual,
A man on a motorcycle is silhouetted by the sunset.,stative,,
Two people kiss near a crowd.,atelic,punctual,could be either
A baseball player in a white uniform takes a swing at a baseball while a catcher in a black and gold uniform crouches behind him.,atelic,punctual,
A man in an orange hat and blue shirt does a flip while school children watch.,telic,punctual,
Three girls tug a rope.,atelic,punctual,
A man stands in front of a building wearing a hat and suit.,atelic,duritive,
A skilled surfer rides a very large wave,atelic,duritive,
Two woman are mud wrestling in a kiddie pool.,atelic,duritive,
A band is playing a piece while a man in a white shirt conducts.,atelic,duritive,
A man in a leather jacket and cowboy hat holds his hand out on the street.,atelic,duritive,
This person looks to be snowboarding on a very small pile of snow on a sunny cold day.,atelic,duritive,
A man wearing a navy blue shirt is inside a room talking while standing next to many books.,stative,,
A man and woman are on a gray and white rowboat.,stative,,
A tan colored dog is jumping into an outdoor pool.,atelic,duritive,
Two men and one woman are sitting in a subway train.,atelic,duritive,
Groups of people stand near a fence watching a plane fly over them,stative,,
A man with a blue hat and vest is holding a rifle with his finger on the trigger.,atelic,duritive,
A child is either screwing or unscrewing a screw on a machine.,stative,,
A lady is hanging up her clothing to dry.,atelic,duritive,
A man walks by a building covered with graffiti.,atelic,duritive,
A crowd of people are at a fair in front of booth where giant teddy bears can be won.,stative,,
The nighttime by the river canal is busy.,stative,,
A baby boy in a car seat is asleep and crying.,stative,,
A group of formally dressed coeds are dancing in a colorfully lit room.,atelic,duritive,
Two wrestlers are in a match while the crowd is watching intently.,stative,,
The child is sitting at the table with art supplies and apples.,atelic,duritive,
Three kids are playing musical instruments in a music concert.,atelic,duritive,
"A blue farm machine pulls people down rows of vegetation, while four people do something with the vegetation in the rows.",stative,,
Large groups of people sit indoors.,atelic,duritive,
A group of kids are playing with a car creator game on screens in front of them.,atelic,duritive,
A man is busy doing something with the wood.,stative,,
This is a massive outside restaurant where lots of people come to gather for the night.,stative,,
This is a woman playing the famous sport of roller derby,stative,,
A crowd of young people lounge and amble over a large green field against a background of sky and trees.,atelic,duritive,
Three people are riding longboards down a hill in full leather suits and helmets.,atelic,duritive,
A group of people is playing a game outside.,atelic,duritive,
A young boy is on the back of another person whom is wearing a hat.,stative,,
A man in a white shirt reads a newspaper in a subway station.,atelic,duritive,
"A swim meet is showing one swimmer in action, with line of others watching.",telic,duritive,
A man is on his phone while sitting on a chair along a rocky beach.,stative,,
A man is on a wire besides an electrical tower.,stative,,
Children participate in a sport on a green field while in uniforms.,atelic,duritive,
"A man in a blue hooded sweatshirt has his hands on the back spokes of his upside-down bike, as he sits on a low graffiti-covered wall among palm trees.",stative,,
A man in a cowboy hat rides a brown horse.,atelic,duritive,
This is a scene in the middle of the action of a football game.,stative,,
People are socializing before a lecture.,atelic,duritive,
A man covered with a red shirt and wearing sunglasses is relaxing on a porch with a newspaper.,stative,,
Three motorcyclists are racing on dirt bikes.,atelic,duritive,
Adults and children are in a room dancing.,stative,,
A person is crosscountry skiing through the snow.,stative,,
"Two small girls, one in a blue and violet dress, the other in a red striped outfit are painting with red and yellow on a piece of canvas in the street.",stative,,
Cyclists are giving it their all to try and pass the leader in white and orange shirt.,telic,duritive,
A woman is sitting outside at a table looking through magazines.,atelic,duritive,
A woman in a green skirt and blue shirt shakes the dust from an object.,atelic,duritive,
Mounted and foot riot police are running. sounds a little odd,atelic,duritive,
A woman and a dog are in a field of bright green grass and brilliant blue sky.,stative,,
Several people wearing foil crowns gather around a table eating.,stative,,
"Two men, both wearing khaki shirts, striped ties, navy bottoms, and hats, are on a grassy countryside, one carrying a guitar and the other carrying a briefcase.",stative,,
A group of senior citizens are watching a performance.,atelic,duritive,
Kids doing a soccer drill in the soccer field are all dressed in soccer uniforms except for one boy which is wearing casual clothing.,stative,,
"The little blond girl with the pink shirt is getting her bunny mask tied to her head by a grown woman with a black shirt and blue jeans, while two little girls, one wearing a brown shirt and one wearing a blue sweater, are watching.",atelic,duritive,
A dancer wearing white shirt and shorts is photographed by a man (who is) also wearing white.,atelic,duritive,
A brown dog is standing on his back legs trying to reach something in the man's hand.,atelic,duritive,
A group of girls from the same sport team join their hands.,atelic,duritive,
A man is carrying a red accordion on his back.,atelic,duritive,
A little boy in a white shirt is rock climbing.,stative,,
A female toddler is sitting on a bench at a marble table while looking at a newspaper.,atelic,duritive,
A woman in a red coat is on the skiing. ? is skiing?,stative,,
Five brown dogs are walking down a grassy path.,atelic,duritive,
A music group is playing music outdoors.,atelic,duritive,
"A young baseball player wearing a yellow shirt and a blue helmet with ""T"" on it slides into home plate and the catcher, while teammates watch.",atelic,duritive,
Students study while in a classroom.,atelic,duritive,
The woman is in a pool and being splashed,stative,,
Two children and a man are looking at the grass beside a lake.,atelic,duritive,
A man wearing a black cap and a black long-sleeved shirt and a purple apron is smiling,atelic,duritive,
Two children are skating quickly on ice.,atelic,duritive,
A woman is walking on the sidewalk.,atelic,duritive,
This is a group of people participating in a race,stative,,
A black dog is in a dog race.,stative,,
These ladies both have blondish hair.,stative,,
Two young men are performing a modern dance routine.,stative,,
Several men are playing hockey with spectators sitting on the bleachers.,atelic,duritive,
Two little boys are on the grass.,stative,,
Four women covered in tattoos are holding small flags.,atelic,duritive,
A judge for a dog show is in a suit and examining one of the dogs.,stative,,
The young girls are listening with books in front of them.,atelic,duritive,
A male surfer is on his stomach and riding a wave.,stative,,
People are outside dancing at a night event while the entertainment sings and plays instruments on a well lit stage.,stative,,
Two street workmen are working on the sidewalk.,atelic,duritive,
A man wearing a suit is walking his dog by a green streetlight post.,atelic,duritive,
Two women and a man are all wearing black jackets and smiling.,stative,,
A group of men and women are standing next to a homemade pirate ship.,atelic,duritive,
Two doctors in blue coats are performing surgery.,telic,duritive,
A man eats a pastry.,telic,duritive,
A man bowls a green bowling ball.,telic,duritive,
The red-panted cyclist is amongst nature.,stative,,
"A woman in black clothes is in a kitchen, grating cheese.",stative,,
A man and a woman are performing karate moves in front of an audience.,atelic,duritive,
A group of friends stand in front of art they have sprayed for a picture.,atelic,duritive,
A man dressed in armor is kicking another man who is laying on the ground.,stative,,
A man wearing a wetsuit is surfing using a surf paddle.,stative,,
Man and woman are in front of Subway restaurant.,stative,,
Two women are kissing in the street as someone stands next to them staring at the ground.,atelic,duritive,
"A man is sitting, surrounded by merchandise that is for sale.",atelic,duritive,
A man in a jacket is looking at some oranges in the grocery store.,atelic,duritive,
Dog has its mouth open in field.,stative,,
"The child is on a boogie board, with waves splashing around.",stative,,
A guy with a gray shirt and jeans is on stage singing with a microphone.,stative,,
A crowd gathers behind an older man.,stative,,
A bald man is posing with two smiling girls.,atelic,duritive,
Lots of people are walking they participate in a parade,atelic,duritive,
A woman is sitting up asleep with her head resting on her hand.,atelic,duritive,
"A baseball player tries to slide into third base while another player blocks him, as an umpire approaches.",telic,duritive,
People are in a restaurant eating.,stative,,
"Several men run in a footrace, with the one in a black tank top as the central figure.",atelic,duritive,
"People marching down a street playing band instruments, a man in foreground is dressed like a baker.",atelic,duritive,
A red-haired man in green pants is getting a self portrait drawn.,atelic,duritive,
A boy in a costume is sitting on a bike.,atelic,duritive,
A girl with blond-hair is outside putting on a bicycle helmet.,stative,,
"A child grimaces for a photo, teeth bared, while eating a blue, heart-shaped lollipop.",telic,duritive,
Six boys and two men are beside a large tree.,stative,,
Two boots (boys) are on two skis moving very fast.,stative,,
A man and a woman in blue lab coats are looking through a microscope.,atelic,duritive,
A young woman and a young man are talking with a group of other people around.,atelic,duritive,
A man in a black robe is walking into a old building.,atelic,duritive,
Two Indian style dancing ladies with their backs to the camera are in a synchronized pose.,stative,,
"Two men are in blue life jackets and sitting on innertubes with ""Crusher"" written on them in the middle of a body of water.",stative,,
A woman softball player is out at the plate as she dives head first.,stative,,
A man is carefully chiseling ice.,stative,,
A boy is reading a comic book in front of a red chair and a grill.,atelic,duritive,
Two men and a shirtless boy are on an elephant.,stative,,
One man has another man trapped in a straight armbar hold on a gym floor.,stative,,
A man dressed in a blue running shirt is stretching outside of his apartment before he takes his run.,atelic,duritive,
A woman with blond hair is sitting in a waiting room reading a magazine.,atelic,duritive,
An Asian tennis player is about to hit the ball.,stative,,
A rock climber pauses to look out over the ocean.,atelic,duritive,
A man checks his phone while sitting on a stone bench.,atelic,duritive,
A man with a bike helmet and two young boys have just their heads peeking up from a pile of leaves.,stative,,
Mountain climber is climbing a snowy mountaintop.,atelic,duritive,
The woman is pulling a wheelie on her motorcycle.,atelic,duritive,
A white blond woman is site seeing on a sunny day.,stative,,
A smiling man climbs a rock.,atelic,duritive,
"An older man in khakis sits in a small, donkey-drawn open carriage.",atelic,duritive,
Two older people are in their kitchen preparing a meal.,stative,,
A black dog runs in a grassy yard while a woman dressed in green watches from in front of a tan house.,atelic,duritive,
A dog in a grass field runs with a ball in its mouth.,atelic,duritive,
A little boy looks at his reflection in a burnished marble wall.,atelic,duritive,
A black dog runs into the water at the beach.,atelic,duritive,
These men are hard at work.,stative,,
An award is being given to a woman in a green dress in front of the white house.,stative,,
Two men wearing padding are fighting.,atelic,duritive,
A white dog rests its head on the patio bricks.,atelic,duritive,
A man is high up off the ground on a metal support.,stative,,
A woman holds something for a professional photograph while the photographer takes the shot.,atelic,duritive,
A woman with a yellow purse runs across a busy street.,atelic,duritive,
Construction workers are busy late at night.,stative,,
A girl is outside tanning by a pool reading her cellphone.,stative,,
Two young females talk and text as they stare into the distance.,atelic,duritive,
"The boy is wearing a blue shirt, and the girl is wearing black clothes.",atelic,duritive,
"There is a man wearing construction gear, standing next to a bulldozer that is picking up rubble and debris.",atelic,duritive,
A dancer in a red costume has her hands raised up to form a shape.,stative,,
A person wearing red shorts and white tank top is about to hit a volleyball.,stative,,
A person dressed in blue and red outfit is jumping over very small wave.,atelic,duritive,
A girl has the ball in a game of basketball.,stative,,
An Asian looking man smiles as he is getting ready to hit a billiard ball.,atelic,duritive,
A man is standing next to a red door.,atelic,duritive,
A line of people are sitting on their motorcycles.,atelic,duritive,
"A group of people are outside, roasting marshmallows in a fire.",stative,,
Two woman are mud wrestling in a kiddie pool.,stative,,
A man looks into a barred hole in a hill.,atelic,duritive,
A man wearing a plaid shirt and brown apron is standing in front of an open fire.,atelic,duritive,
A teacher and his students are playing with sand in the classroom.,atelic,duritive,
A small white dog has on a leash and is walking next to a fence.,stative,,
A long red beach with round tables is outside in front of a pub. sounds odd,stative,,
"Men are strolling a brick-paved, brightly lit, business district.",atelic,duritive,
Two children are playing on a bicycle.,atelic,duritive,
"Four people are on a red bridge with a pipe going across it, some walking while some stand in place.",stative,,
You have two boys playing soccer with each other who are both going after the ball.,stative,,
The man is doing a jump while skiing.,atelic,duritive,
Many people are in a line of traffic and all are in jeeps.,stative,,
A hurdler is in mid-stride while preparing to leap the hurdle on the track.,stative,,
Two small girls are looking at seaweed that has washed up onto the shore.,atelic,duritive,
A cyclist on a neon yellow bike is airborne.,stative,,
A man in a long brown coat is standing in front of a person wearing a lime green jacket.,atelic,duritive,
The red panted cyclist is amongst nature.,stative,,
A black and white dog with a stick is in muddy water.,stative,,
A man has fallen out of a white water raft while other rafters look at him.,stative,,
The woman is ice skating and pulling the little girl in the cart across the ice.,stative,,
"A contestant riding a pony in a rodeo setting is being thrown by the horse, while another cowboy looks on in the arena and spectators watch from behind a fence.",atelic,duritive,
This is a woman putting her socks on.,stative,,
Two ladies get food ready to be served.,stative,,
Two females are embracing each other.,atelic,duritive,
A young man and woman enjoy a meal.,atelic,duritive,
A small white car is on the train tracks and may or may not have been hit by the train behind it.,stative,,
A group of women and one older man have food and drinks at a restaurant and talk amongst themselves.,stative,,
"A man rock climbs up a very tall cliff, with a blue rope behind him.",atelic,duritive,
A woman is sitting on a moped inside a shop.,atelic,duritive,
"Two boys, one naked, one in a skirt, run on the sand.",atelic,duritive,
"A red dog stands in a rocky shore, its feet in the sea.",atelic,duritive,
A food vendor holds up a bag of snacks and a bottle as he stands in the crowd at a sports venue.,atelic,duritive,
A white female is outside in a market looking at fruit.,stative,,
The white dog is hard to see in the snow as it runs payfully.,stative,,
Two men in camouflage pants are running past a parking lot.,atelic,duritive,
A guy is at work using his computer to take care of business.,atelic,duritive,
This is a small beige dog running through a grassy field,stative,,
Two people are in a small race car driving by a green hill.,stative,,
A black dog is in a dog race.,stative,,
Two people are competing in a martial arts match.,atelic,duritive,
There's nothing in the world like taking my kids out to play and being a good dad.,stative,,
"An older man is wearing a traditional costume, and is walking next to a fence.",atelic,duritive,
"A brown dog, a black and white dog, and a black dog are all standing in a field.",stative,,
People are walking around in a brightly-lit indoor shopping center.,atelic,duritive,
The person in white T-shirt is standing on the road.,atelic,duritive,
A female professional swimmer is in the middle of taking a breath in-between strokes during a heat.,stative,,
Several people are riding horses on a wooded trail.,atelic,duritive,
"Multiple people, one of whom is on a bicycle, cross a busy street.",stative,,
A man holds a surfboard on the beach.,atelic,duritive,
A soccer player in maroon jersey is standing next to a ref in black,atelic,duritive,
A man in black swim trunks is in the middle of diving off of a diving board into a swimming pool.,stative,,
A skier is in the snow next to a red flag.,stative,,
A young boy with his eyes closed is tossing leaves while sitting in a leaf pile.,atelic,duritive,
A group of young people take shots in a Mexican setting.,atelic,duritive,
A woman with long brown hair plays an instrument and sings into a microphone.,atelic,duritive,
A man does construction work on the roof of a building.,atelic,duritive,
A man in a suit with several bags stands on the street while two people in the foreground point and look at something out of the photo's range.,stative,,
"A little girl in a swimsuit and braids is in front of the water, in the grass, with her arms crossed in front of her chest",stative,,
"A blue farm machine pulls people down rows of vegetation, while four people do something with the vegetation in the rows.",atelic,duritive,
"Two infants, one standing and one sitting, are in a bathroom.",stative,,
A boy and a young woman in a headscarf make peace signs.,atelic,duritive,
A man wearing a white bathing suit is diving into a lake.,stative,,
A girl in pink plays the drums.,atelic,duritive,
"Three men, one wearing a hat and two who are not, are kneeling on the ground digging in the dirt surrounding a cement platform.",stative,,
A woman holds a plate of goodies for her little princess.,atelic,duritive,
Three men are standing in an outdoor fruit market where several motor scooters are parked.,atelic,duritive,
A young woman is pole vaulting.,atelic,duritive,
A child is wearing a red shirt and raising their arms.,atelic,duritive,
"A blond woman dressed all in black is sitting backwards in a chair, in a field, looking to the right.",stative,,
"A young girl stands behind several knick-knacks, such as dolls, a statue of jesus, and a statue of the virgin mary, outdoors",atelic,duritive,
"There are 3 Cowboys at the rodeo, one happens to have excellent pose timing.",stative,,
Two older looking cars are on a drag race strip.,stative,,
